# BUSCO version is: 5.4.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	scaffold_1	4488835	4529740	-	4030.4	1979
9639at33208	Missing
13816at33208	Fragmented	scaffold_4	25013201	25019266	-	646.6	465
14776at33208	Missing
16244at33208	Complete	scaffold_2	28352557	28384011	-	1660.8	1303
40200at33208	Missing
45934at33208	Missing
49474at33208	Complete	scaffold_4	34167976	34181788	-	543.7	558
50756at33208	Complete	scaffold_4	446678	467004	-	684.1	600
56573at33208	Missing
57158at33208	Complete	scaffold_1	39131863	39150788	+	1647.6	1038
63697at33208	Complete	scaffold_1	6004917	6016777	+	1936.8	932
64435at33208	Missing
65302at33208	Complete	scaffold_2	15472992	15505480	-	887.1	872
66018at33208	Complete	scaffold_2	13913539	13931771	+	1046.0	799
75406at33208	Fragmented	scaffold_2	13977020	14005736	+	109.9	151
76852at33208	Fragmented	scaffold_1	30614969	30617668	-	206.1	190
84980at33208	Complete	scaffold_4	19895041	19900359	-	689.7	614
88053at33208	Fragmented	scaffold_4	15239715	15242893	+	250.1	235
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	scaffold_3	25012613	25020815	-	347.2	471
102804at33208	Complete	scaffold_3	34043784	34063462	-	921.5	667
103854at33208	Complete	scaffold_3	16621638	16634162	-	275.1	450
107151at33208	Complete	scaffold_1	41348228	41362155	-	1003.7	736
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	scaffold_4	28695372	28702705	+	908.8	586
111730at33208	Missing
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	scaffold_1	29321570	29324802	-	390.0	245
118209at33208	Complete	scaffold_2	19612077	19623843	+	1374.6	794
119252at33208	Complete	scaffold_2	32482151	32490957	+	737.3	484
119591at33208	Missing
121127at33208	Missing
123923at33208	Fragmented	scaffold_2	20619593	20641830	+	112.7	113
124302at33208	Fragmented	scaffold_2	37785345	37787994	+	348.8	274
127766at33208	Fragmented	scaffold_9	408052	408655	+	142.4	141
129179at33208	Duplicated	scaffold_10	122678	132478	-	655.6	454
129179at33208	Duplicated	scaffold_2	17928739	17935785	+	645.4	454
130245at33208	Complete	scaffold_1	12416165	12423444	+	355.2	371
130256at33208	Fragmented	scaffold_1	40558110	40563742	-	266.7	203
131349at33208	Complete	scaffold_2	28631827	28645303	+	1112.3	833
131848at33208	Missing
132087at33208	Complete	scaffold_108	10328	13831	+	557.9	669
134492at33208	Complete	scaffold_1	35279056	35288411	+	461.3	613
135294at33208	Complete	scaffold_1	32817531	32822291	+	440.3	527
137383at33208	Missing
139188at33208	Missing
143619at33208	Missing
143997at33208	Missing
146671at33208	Complete	scaffold_2	32568466	32578014	-	554.4	423
147873at33208	Complete	scaffold_1	30695323	30703267	-	828.0	560
148067at33208	Missing
148325at33208	Missing
152327at33208	Missing
152977at33208	Fragmented	scaffold_2	32757634	32759032	-	120.7	119
153034at33208	Complete	scaffold_4	11773299	11783471	+	546.7	443
157109at33208	Duplicated	scaffold_4	17300417	17304411	+	182.4	200
157109at33208	Duplicated	scaffold_4	17392411	17396360	-	194.0	188
157138at33208	Missing
158845at33208	Complete	scaffold_1	11838470	11840431	-	146.6	339
158962at33208	Fragmented	scaffold_1	10065682	10068887	+	385.5	311
162821at33208	Complete	scaffold_1	23439966	23455410	+	514.7	376
164767at33208	Missing
166097at33208	Complete	scaffold_2	5585306	5595921	+	677.2	491
168850at33208	Complete	scaffold_1	1984634	1988418	-	450.7	437
168924at33208	Fragmented	scaffold_1	13278394	13279367	-	121.6	96
169864at33208	Missing
172677at33208	Missing
176247at33208	Complete	scaffold_4	21691359	21703174	-	346.5	327
177718at33208	Complete	scaffold_1	17423027	17430771	+	380.6	339
177858at33208	Complete	scaffold_2	21446930	21474980	-	767.8	539
178537at33208	Complete	scaffold_2	19472184	19481317	-	857.0	465
179485at33208	Complete	scaffold_4	2430910	2439566	-	494.5	327
180808at33208	Complete	scaffold_1	3127624	3139852	-	611.2	462
182834at33208	Missing
184508at33208	Complete	scaffold_2	29922881	29927328	-	366.0	272
184717at33208	Complete	scaffold_4	17616831	17625344	+	893.9	515
186208at33208	Complete	scaffold_3	11096011	11110447	-	998.6	699
186707at33208	Missing
187280at33208	Missing
189414at33208	Missing
190726at33208	Complete	scaffold_2	28169714	28177901	-	443.1	373
191938at33208	Missing
192250at33208	Complete	scaffold_3	31062931	31072022	-	378.5	299
194754at33208	Duplicated	scaffold_3	13455420	13474155	-	842.5	627
194754at33208	Duplicated	scaffold_3	13632926	13654013	+	885.3	592
195986at33208	Complete	scaffold_3	23193083	23205289	-	794.6	577
196950at33208	Complete	scaffold_3	30858963	30892628	-	408.5	478
197549at33208	Missing
197652at33208	Duplicated	scaffold_2	42225316	42234143	+	595.9	414
197652at33208	Duplicated	scaffold_6	459013	466205	+	630.9	428
200997at33208	Missing
201397at33208	Complete	scaffold_4	21644532	21653880	-	611.2	470
202545at33208	Complete	scaffold_2	42884761	42890215	+	305.0	304
203128at33208	Complete	scaffold_2	5419279	5425836	-	810.1	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	scaffold_85	14194	20855	-	416.9	325
206858at33208	Missing
207599at33208	Complete	scaffold_1	38850371	38857959	+	366.8	337
208219at33208	Missing
210614at33208	Missing
212972at33208	Duplicated	scaffold_4	31917467	31925095	+	372.6	382
212972at33208	Duplicated	scaffold_82	41809	48098	-	391.2	401
214788at33208	Missing
215654at33208	Complete	scaffold_3	9418064	9427141	+	447.6	405
216257at33208	Complete	scaffold_12	152127	162942	+	454.1	336
216563at33208	Fragmented	scaffold_398	4424	6033	+	99.9	89
218441at33208	Missing
219795at33208	Fragmented	scaffold_1	34805671	34812800	-	189.7	249
219856at33208	Complete	scaffold_203	2339	10875	-	630.4	382
222489at33208	Complete	scaffold_2	33479648	33484307	+	582.3	329
223234at33208	Complete	scaffold_2	38792067	38817656	-	203.8	267
224280at33208	Duplicated	scaffold_2	14582087	14587740	+	764.4	439
224280at33208	Duplicated	scaffold_78	45829	52505	-	720.2	439
226335at33208	Complete	scaffold_1	25120005	25138064	+	471.0	338
226941at33208	Complete	scaffold_1	37211365	37215705	+	512.2	372
227087at33208	Missing
227453at33208	Missing
227979at33208	Complete	scaffold_3	16635041	16647376	+	386.7	362
231157at33208	Complete	scaffold_1	37411769	37428381	-	294.0	268
231700at33208	Missing
234290at33208	Complete	scaffold_2	12035873	12052988	-	394.3	329
235149at33208	Missing
235430at33208	Fragmented	scaffold_75	17276	22127	+	270.4	245
235458at33208	Complete	scaffold_4	35954789	35965010	-	249.3	281
239016at33208	Complete	scaffold_3	9832897	9836381	+	243.2	290
239149at33208	Missing
239597at33208	Missing
240437at33208	Duplicated	scaffold_2	41398332	41405231	-	381.1	215
240437at33208	Duplicated	scaffold_2	43520376	43530978	+	385.4	215
244863at33208	Missing
245482at33208	Complete	scaffold_3	27718651	27734055	+	402.4	308
245567at33208	Fragmented	scaffold_1	26370887	26376586	-	175.6	161
246241at33208	Fragmented	scaffold_1	28562662	28565280	+	240.7	240
247183at33208	Missing
247905at33208	Missing
249486at33208	Complete	scaffold_4	34091936	34100152	+	240.9	307
251076at33208	Complete	scaffold_2	18750648	18755120	-	503.2	307
251577at33208	Missing
255117at33208	Complete	scaffold_3	15988857	16004626	+	828.9	643
255242at33208	Missing
255924at33208	Missing
257141at33208	Complete	scaffold_1	39491490	39493150	+	190.0	249
257339at33208	Missing
259581at33208	Missing
260752at33208	Missing
261284at33208	Complete	scaffold_3	11018566	11027552	+	164.4	299
261614at33208	Complete	scaffold_1	13974749	13982162	-	614.8	492
262757at33208	Complete	scaffold_3	37327452	37328897	-	205.0	239
266460at33208	Complete	scaffold_3	9918110	9931098	-	323.7	372
266469at33208	Missing
266808at33208	Complete	scaffold_1	31911441	31917289	+	352.4	317
267439at33208	Complete	scaffold_1	32925848	32932813	-	633.2	398
268134at33208	Missing
268397at33208	Complete	scaffold_2	45032739	45059790	-	505.9	451
270594at33208	Fragmented	scaffold_2	44652345	44656174	+	148.4	138
271297at33208	Complete	scaffold_3	15892757	15898450	-	243.0	240
271742at33208	Complete	scaffold_484	3869	10851	-	428.8	339
272605at33208	Missing
273040at33208	Complete	scaffold_1	39170191	39174528	-	124.8	96
273367at33208	Fragmented	scaffold_3	19458754	19458939	+	32.5	37
273989at33208	Missing
274044at33208	Complete	scaffold_30	50425	59213	+	427.7	352
274064at33208	Missing
274769at33208	Complete	scaffold_2	19898744	19905997	-	358.7	305
274992at33208	Complete	scaffold_3	31812708	31824505	-	633.8	357
277935at33208	Missing
278227at33208	Complete	scaffold_1	33988124	33994446	-	339.5	390
279631at33208	Missing
279992at33208	Fragmented	scaffold_2	3989257	3992617	-	212.3	157
280914at33208	Fragmented	scaffold_2	31479462	31486950	+	125.3	159
281304at33208	Complete	scaffold_2	12330068	12331639	-	156.7	312
281693at33208	Missing
283637at33208	Complete	scaffold_3	20157166	20164470	+	576.4	360
284059at33208	Missing
285146at33208	Complete	scaffold_3	21071221	21074381	+	315.1	306
285902at33208	Complete	scaffold_3	19022990	19030544	+	171.2	285
285966at33208	Missing
286553at33208	Missing
289235at33208	Complete	scaffold_1	28560057	28562444	-	166.9	227
289928at33208	Complete	scaffold_1	16561290	16565698	+	152.3	147
291505at33208	Complete	scaffold_1	31033937	31038943	-	378.6	322
291875at33208	Fragmented	scaffold_3	34754677	34755842	+	85.0	108
295556at33208	Missing
295775at33208	Complete	scaffold_2	29465662	29516833	+	198.1	255
300303at33208	Missing
301572at33208	Complete	scaffold_2	13266901	13273938	-	529.6	382
302186at33208	Missing
302279at33208	Missing
302921at33208	Complete	scaffold_2	13388964	13389875	-	62.9	154
303117at33208	Missing
304388at33208	Missing
305260at33208	Complete	scaffold_104	12964	14241	+	502.5	380
306101at33208	Fragmented	scaffold_3	12722244	12724618	-	113.0	125
307109at33208	Complete	scaffold_4	16500781	16506675	+	278.9	240
308610at33208	Complete	scaffold_3	11070230	11077752	-	399.6	318
311438at33208	Missing
311758at33208	Complete	scaffold_2	39232828	39237979	-	376.3	384
311761at33208	Missing
312577at33208	Fragmented	scaffold_2	14985981	14986678	-	107.9	160
313091at33208	Complete	scaffold_2	10276952	10279017	+	317.3	229
315044at33208	Missing
315393at33208	Complete	scaffold_4	3188947	3196458	+	363.9	276
317470at33208	Missing
318483at33208	Complete	scaffold_3	21084306	21088847	-	302.5	319
318532at33208	Complete	scaffold_4	15193875	15198832	-	588.6	336
319574at33208	Complete	scaffold_1	27195346	27201020	-	180.5	196
320390at33208	Fragmented	scaffold_2	24855738	24856172	+	126.4	134
