# BUSCO version is: 5.4.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	contig_572_1	556312	563253	-	4056.0	1982
9639at33208	Complete	contig_424_1	292565	299251	-	1527.7	1725
13816at33208	Fragmented	contig_1252_1	104039	108511	+	384.5	290
14776at33208	Missing
16244at33208	Complete	contig_848_1	60842	92807	-	1731.8	1298
40200at33208	Missing
45934at33208	Missing
49474at33208	Complete	contig_3747_1	16580	21400	+	904.8	1111
50756at33208	Complete	scaffold_1244_1	103970	123760	-	676.3	596
56573at33208	Missing
57158at33208	Complete	contig_3766_1	23609	47804	+	1721.2	1034
63697at33208	Fragmented	contig_1312_1	1164	14561	+	1138.3	559
64435at33208	Missing
65302at33208	Complete	contig_1239_1	973923	977402	-	888.5	984
66018at33208	Complete	scaffold_1449_1	1677702	1703045	-	1120.2	719
75406at33208	Complete	contig_553_1	262858	264495	+	328.1	417
76852at33208	Fragmented	contig_834_1	1087922	1096491	-	211.1	156
84980at33208	Complete	contig_357_1	14568	17567	+	525.7	573
88053at33208	Complete	contig_959_1	211157	214012	-	288.1	438
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	contig_604_1	185962	205425	+	402.7	424
102804at33208	Complete	contig_1436_1	158868	187383	+	892.4	692
103854at33208	Complete	scaffold_3838_1	305054	307567	-	366.4	633
107151at33208	Complete	contig_2866_1	23382	73163	+	1109.0	780
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	contig_983_1	204830	207151	-	961.1	582
111730at33208	Missing
111746at33208	Missing
114954at33208	Missing
115878at33208	Fragmented	contig_1265_1	316599	323298	+	270.4	204
118209at33208	Complete	contig_2423_1	42350	55352	-	1090.6	714
119252at33208	Complete	contig_690_1	403701	408647	-	661.1	503
119591at33208	Missing
121127at33208	Missing
123923at33208	Fragmented	contig_1719_1	28866	29815	-	118.5	196
124302at33208	Fragmented	contig_1289_1	351921	354973	+	206.0	174
127766at33208	Complete	contig_343_1	263658	265814	-	440.8	570
129179at33208	Complete	contig_912_1	25293	96261	-	693.9	463
130245at33208	Complete	contig_1084_1	106911	134633	-	525.5	561
130256at33208	Complete	contig_740_1	389911	392268	-	427.9	528
131349at33208	Complete	contig_773_1	1616747	1629240	+	1168.6	881
131848at33208	Missing
132087at33208	Complete	scaffold_521_1	895796	899095	+	633.9	753
134492at33208	Complete	contig_645_1	273290	290215	+	696.9	619
135294at33208	Complete	contig_704_1	467920	470193	-	351.1	497
137383at33208	Missing
139188at33208	Complete	contig_632_1	2417567	2419570	+	164.0	587
143619at33208	Fragmented	contig_72_1	197920	201741	-	90.7	125
143997at33208	Missing
146671at33208	Complete	contig_606_1	433613	532711	+	568.6	615
147873at33208	Complete	contig_848_1	430591	451040	-	714.7	547
148067at33208	Complete	contig_1237_1	985214	988624	+	303.2	638
148325at33208	Complete	contig_1409_1	106740	108611	+	210.0	262
152327at33208	Missing
152977at33208	Missing
153034at33208	Complete	contig_690_1	354820	377794	-	607.6	502
157109at33208	Complete	contig_947_1	91058	99446	+	199.9	191
157138at33208	Missing
158845at33208	Missing
158962at33208	Complete	contig_3050_1	169399	187916	+	570.8	458
162821at33208	Complete	contig_697_1	17447	26121	+	506.8	441
164767at33208	Complete	contig_357_1	182068	201586	+	532.6	521
166097at33208	Complete	contig_864_1	500597	513126	+	627.4	491
168850at33208	Complete	contig_83_1	224277	226208	+	585.6	515
168924at33208	Complete	contig_716_1	396483	398267	+	267.7	455
169864at33208	Missing
172677at33208	Fragmented	contig_789_1	257095	257445	-	80.5	85
176247at33208	Complete	contig_405_1	709685	711103	+	304.2	324
177718at33208	Complete	contig_2029_1	261084	262862	-	335.5	393
177858at33208	Complete	contig_632_1	1624851	1627019	+	795.5	590
178537at33208	Complete	contig_1289_1	588825	590456	+	875.5	465
179485at33208	Missing
180808at33208	Complete	contig_1636_1	13284	18953	-	656.1	473
182834at33208	Complete	contig_1487_1	78898	80727	+	244.6	490
184508at33208	Complete	scaffold_769_1	584584	602312	+	397.6	321
184717at33208	Complete	contig_1084_1	141677	156447	+	836.5	516
186208at33208	Complete	contig_3627_1	243946	246768	+	1081.4	748
186707at33208	Complete	contig_3777_1	79891	81846	-	155.4	350
187280at33208	Missing
189414at33208	Fragmented	contig_3718_1	76920	82475	-	117.9	183
190726at33208	Complete	contig_2802_1	578334	594583	-	159.9	239
191938at33208	Missing
192250at33208	Complete	contig_700_1	1003092	1019781	-	353.4	263
194754at33208	Missing
195986at33208	Complete	contig_1015_1	374155	376602	-	678.8	628
196950at33208	Complete	contig_1169_1	3096	5489	-	533.1	591
197549at33208	Complete	contig_1122_1	722545	724464	-	102.7	389
197652at33208	Complete	contig_1137_1	101043	120976	+	663.6	436
200997at33208	Missing
201397at33208	Missing
202545at33208	Complete	contig_1593_1	44443	51827	-	439.3	347
203128at33208	Complete	contig_3681_1	75903	94379	-	802.7	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	scaffold_2573_1	1008822	1010036	+	325.3	329
206858at33208	Missing
207599at33208	Complete	contig_606_1	148586	186781	+	449.0	372
208219at33208	Missing
210614at33208	Complete	contig_1016_1	35610	38549	-	360.9	629
212972at33208	Complete	contig_1341_1	164200	177802	-	361.1	419
214788at33208	Complete	contig_1532_1	147795	149585	+	101.2	504
215654at33208	Complete	contig_1239_1	1086904	1107268	+	436.7	415
216257at33208	Duplicated	contig_606_1	297190	298950	+	357.4	337
216257at33208	Duplicated	contig_3652_1	36698	56312	+	330.4	312
216563at33208	Complete	contig_3238_1	117699	119135	+	135.7	247
218441at33208	Missing
219795at33208	Complete	contig_604_1	1499932	1502442	+	247.5	368
219856at33208	Complete	contig_598_1	1413841	1415268	-	634.0	394
222489at33208	Complete	contig_529_1	430958	444074	-	566.1	331
223234at33208	Fragmented	contig_83_1	854614	861266	+	111.5	146
