,description,type,id,ontology_type,orthodb_id,name,count,obsolete_term,ancestor_terms
0,"L: Replication, recombination and repair",text,L,functional_category,5951at33208,,,,
1,"O: Posttranslational modification, protein turnover, chaperones",text,O,functional_category,5951at33208,,,,
2,K: Transcription,text,K,functional_category,5951at33208,,,,
3,Pre-mRNA-processing-splicing factor 8,interpro,IPR027652,interpro_domains,5951at33208,IPR027652,229.0,,
4,PROCN domain,interpro,IPR012592,interpro_domains,5951at33208,IPR012592,221.0,,
5,Ribonuclease H-like superfamily,interpro,IPR012337,interpro_domains,5951at33208,IPR012337,220.0,,
6,PRO8NT domain,interpro,IPR012591,interpro_domains,5951at33208,IPR012591,220.0,,
7,PROCT domain,interpro,IPR012984,interpro_domains,5951at33208,IPR012984,219.0,,
8,PRP8 domain IV core,interpro,IPR021983,interpro_domains,5951at33208,IPR021983,219.0,,
9,MPN domain,interpro,IPR037518,interpro_domains,5951at33208,IPR037518,218.0,,
10,JAB1/MPN/MOV34 metalloenzyme domain,interpro,IPR000555,interpro_domains,5951at33208,IPR000555,218.0,,
11,"Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding",interpro,IPR019581,interpro_domains,5951at33208,IPR019581,217.0,,
12,"Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding",interpro,IPR019580,interpro_domains,5951at33208,IPR019580,216.0,,
13,"RNA recognition motif, spliceosomal PrP8",interpro,IPR019582,interpro_domains,5951at33208,IPR019582,216.0,,
14,,GeneOntology,GO:0000398,unclassified GO terms,5951at33208,GO:0000398,183.0,False,"GO:0090304,GO:0008150,GO:0008380,GO:1901360,GO:0008152,GO:0006396,GO:0006397,GO:0044238,GO:0006139,GO:0044237,GO:0009987,GO:0000377,GO:0000398,GO:0000375,GO:0043170,GO:0006725,GO:0046483,GO:0016070,GO:0016071,GO:0006807,GO:0010467,GO:0034641,GO:0071704"
15,,GeneOntology,GO:0003723,unclassified GO terms,5951at33208,GO:0003723,170.0,False,"GO:0003676,GO:0003723,GO:0097159,GO:1901363,GO:0005488,GO:0003674"
16,U6 snRNA binding,GeneOntology,GO:0017070,molecular_function,5951at33208,GO:0017070,171.0,False,"GO:0003676,GO:0017070,GO:0003723,GO:1901363,GO:0097159,GO:0017069,GO:0005488,GO:0003674"
17,U5 snRNA binding,GeneOntology,GO:0030623,molecular_function,5951at33208,GO:0030623,171.0,False,"GO:0003676,GO:0030623,GO:0003723,GO:0097159,GO:1901363,GO:0017069,GO:0005488,GO:0003674"
18,spliceosomal complex,GeneOntology,GO:0005681,cellular_component,5951at33208,GO:0005681,183.0,False,"GO:0005634,GO:0043229,GO:0140513,GO:0043231,GO:0005681,GO:0032991,GO:0110165,GO:1990904,GO:0043226,GO:0005575,GO:0005622,GO:0043227"
19,"O: Posttranslational modification, protein turnover, chaperones",text,O,functional_category,9639at33208,,,,
20,K: Transcription,text,K,functional_category,9639at33208,,,,
21,endosome membrane,GeneOntology,GO:0010008,cellular_component,9639at33208,GO:0010008,64.0,False,"GO:0043229,GO:0043226,GO:0110165,GO:0005575,GO:0031090,GO:0005622,GO:0043227,GO:0030659,GO:0005768,GO:0005737,GO:0043231,GO:0098588,GO:0012506,GO:0016020,GO:0031410,GO:0031982,GO:0012505,GO:0010008,GO:0097708"
22,cytosol,GeneOntology,GO:0005829,cellular_component,9639at33208,GO:0005829,58.0,False,"GO:0005737,GO:0005829,GO:0110165,GO:0005575,GO:0005622"
23,Armadillo-type fold,interpro,IPR016024,interpro_domains,9639at33208,IPR016024,120.0,,
24,Chaperone J-domain superfamily,interpro,IPR036869,interpro_domains,9639at33208,IPR036869,113.0,,
25,DnaJ domain,interpro,IPR001623,interpro_domains,9639at33208,IPR001623,113.0,,
26,Domain of unknown function DUF4339,interpro,IPR025640,interpro_domains,9639at33208,IPR025640,104.0,,
27,Armadillo-like helical,interpro,IPR011989,interpro_domains,9639at33208,IPR011989,101.0,,
28,"J: Translation, ribosomal structure and biogenesis",text,J,functional_category,13816at33208,,,,
29,K: Transcription,text,K,functional_category,13816at33208,,,,
30,"HECT, E3 ligase catalytic domain",interpro,IPR035983,interpro_domains,13816at33208,IPR035983,93.0,,
31,HECT domain,interpro,IPR000569,interpro_domains,13816at33208,IPR000569,93.0,,
32,"Zinc finger, UBR-type",interpro,IPR003126,interpro_domains,13816at33208,IPR003126,91.0,,
33,"E3 ubiquitin ligase EDD, ubiquitin-associated domain",interpro,IPR024725,interpro_domains,13816at33208,IPR024725,89.0,,
34,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,interpro,IPR009091,interpro_domains,13816at33208,IPR009091,86.0,,
35,PABC (PABP) domain,interpro,IPR036053,interpro_domains,13816at33208,IPR036053,82.0,,
36,Polyadenylate-binding protein/Hyperplastic disc protein,interpro,IPR002004,interpro_domains,13816at33208,IPR002004,82.0,,
37,,GeneOntology,GO:0004842,unclassified GO terms,13816at33208,GO:0004842,120.0,False,"GO:0016755,GO:0004842,GO:0016746,GO:0140096,GO:0003824,GO:0016740,GO:0019787,GO:0003674"
38,,GeneOntology,GO:0003723,unclassified GO terms,13816at33208,GO:0003723,111.0,False,"GO:0003676,GO:0003723,GO:0097159,GO:1901363,GO:0005488,GO:0003674"
39,zinc ion binding,GeneOntology,GO:0008270,molecular_function,13816at33208,GO:0008270,120.0,False,"GO:0046914,GO:0008270,GO:0046872,GO:0043167,GO:0043169,GO:0005488,GO:0003674"
40,ubiquitin binding,GeneOntology,GO:0043130,molecular_function,13816at33208,GO:0043130,117.0,False,"GO:0032182,GO:0005515,GO:0043130,GO:0005488,GO:0003674"
41,transferase activity,GeneOntology,GO:0016740,molecular_function,13816at33208,GO:0016740,102.0,False,"GO:0003824,GO:0016740,GO:0003674"
42,protein ubiquitination,GeneOntology,GO:0016567,biological_process,13816at33208,GO:0016567,89.0,False,"GO:0019538,GO:0036211,GO:0008150,GO:0008152,GO:1901564,GO:0044238,GO:0043412,GO:0043170,GO:0006807,GO:0070647,GO:0071704,GO:0016567,GO:0032446"
43,T: Signal transduction mechanisms,text,T,functional_category,14776at33208,,,,
44,"X: Mobilome: prophages, transposons",text,X,functional_category,14776at33208,,,,
45,V: Defense mechanisms,text,V,functional_category,14776at33208,,,,
46,Translational activator Gcn1,interpro,IPR033173,interpro_domains,14776at33208,IPR033173,113.0,,
47,Armadillo-type fold,interpro,IPR016024,interpro_domains,14776at33208,IPR016024,112.0,,
48,Armadillo-like helical,interpro,IPR011989,interpro_domains,14776at33208,IPR011989,111.0,,
49,"HEAT, type 2",interpro,IPR021133,interpro_domains,14776at33208,IPR021133,110.0,,
50,TOG domain,interpro,IPR034085,interpro_domains,14776at33208,IPR034085,110.0,,
51,,GeneOntology,GO:0043022,unclassified GO terms,14776at33208,GO:0043022,144.0,False,"GO:0043022,GO:0043021,GO:0005488,GO:0003674,GO:0044877"
52,,GeneOntology,GO:0006417,unclassified GO terms,14776at33208,GO:0006417,144.0,False,"GO:0043604,GO:0043603,GO:0019538,GO:1901564,GO:0009059,GO:0051171,GO:1901566,GO:0009058,GO:0044238,GO:0044237,GO:0051246,GO:0043170,GO:0006417,GO:0050794,GO:0006518,GO:0010556,GO:0034248,GO:0019222,GO:0034641,GO:0065007,GO:0008150,GO:0060255,GO:0008152,GO:1901576,GO:0044249,GO:0009889,GO:0009987,GO:0006412,GO:0010608,GO:0044271,GO:0006807,GO:0043043,GO:0010468,GO:0010467,GO:0031326,GO:0050789,GO:0080090,GO:0071704,GO:0031323"
53,protein kinase regulator activity,GeneOntology,GO:0019887,molecular_function,14776at33208,GO:0019887,144.0,False,"GO:0140096,GO:0098772,GO:0003824,GO:0004672,GO:0016772,GO:0019887,GO:0016740,GO:0016773,GO:0016301,GO:0030234,GO:0019207,GO:0003674"
54,protein kinase binding,GeneOntology,GO:0019901,molecular_function,14776at33208,GO:0019901,144.0,False,"GO:0019901,GO:0005515,GO:0005488,GO:0019900,GO:0003674,GO:0019899"
55,positive regulation of kinase activity,GeneOntology,GO:0033674,biological_process,14776at33208,GO:0033674,144.0,False,"GO:0043549,GO:0009893,GO:0048518,GO:0044237,GO:0003674,GO:0050794,GO:0048522,GO:0003824,GO:0019220,GO:0050790,GO:0019222,GO:0033674,GO:0016310,GO:0016772,GO:0051347,GO:0045937,GO:0065007,GO:0042327,GO:0008150,GO:0008152,GO:0006793,GO:0009987,GO:0065009,GO:0042325,GO:0006796,GO:0044093,GO:0043085,GO:0051174,GO:0051338,GO:0016740,GO:0031325,GO:0050789,GO:0010562,GO:0016301,GO:0031323"
56,regulation of protein kinase activity,GeneOntology,GO:0045859,biological_process,14776at33208,GO:0045859,130.0,False,"GO:0043549,GO:0036211,GO:0019538,GO:1901564,GO:0051171,GO:0044238,GO:0006468,GO:0044237,GO:0003674,GO:0051246,GO:0043170,GO:0050794,GO:0003824,GO:0019220,GO:0050790,GO:0031399,GO:0019222,GO:0016772,GO:0016310,GO:0016773,GO:0065007,GO:0008150,GO:0140096,GO:0060255,GO:0045859,GO:0008152,GO:0004672,GO:0006793,GO:0043412,GO:0042325,GO:0065009,GO:0009987,GO:0006796,GO:0001932,GO:0006807,GO:0051174,GO:0051338,GO:0016740,GO:0050789,GO:0016301,GO:0071704,GO:0080090,GO:0031323"
57,"L: Replication, recombination and repair",text,L,functional_category,16244at33208,,,,
58,"X: Mobilome: prophages, transposons",text,X,functional_category,16244at33208,,,,
59,P: Inorganic ion transport and metabolism,text,P,functional_category,16244at33208,,,,
60,zinc ion binding,GeneOntology,GO:0008270,molecular_function,16244at33208,GO:0008270,135.0,False,"GO:0046914,GO:0008270,GO:0046872,GO:0043167,GO:0043169,GO:0005488,GO:0003674"
61,nucleotide binding,GeneOntology,GO:0000166,molecular_function,16244at33208,GO:0000166,133.0,False,"GO:0000166,GO:0097159,GO:1901363,GO:1901265,GO:0036094,GO:0005488,GO:0003674"
62,nucleic acid binding,GeneOntology,GO:0003676,molecular_function,16244at33208,GO:0003676,131.0,False,"GO:0003676,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
63,transferase activity,GeneOntology,GO:0016740,molecular_function,16244at33208,GO:0016740,108.0,False,"GO:0003824,GO:0016740,GO:0003674"
64,nucleotidyltransferase activity,GeneOntology,GO:0016779,molecular_function,16244at33208,GO:0016779,108.0,False,"GO:0016779,GO:0003824,GO:0016772,GO:0016740,GO:0003674"
65,metal ion binding,GeneOntology,GO:0046872,molecular_function,16244at33208,GO:0046872,107.0,False,"GO:0046872,GO:0043167,GO:0043169,GO:0005488,GO:0003674"
66,iron-sulfur cluster binding,GeneOntology,GO:0051536,molecular_function,16244at33208,GO:0051536,107.0,False,"GO:0051540,GO:0005488,GO:0051536,GO:0003674"
67,"4 iron, 4 sulfur cluster binding",GeneOntology,GO:0051539,molecular_function,16244at33208,GO:0051539,107.0,False,"GO:0051540,GO:0051539,GO:0051536,GO:0005488,GO:0003674"
68,,GeneOntology,GO:0003887,unclassified GO terms,16244at33208,GO:0003887,165.0,False,"GO:1901360,GO:1901362,GO:0009059,GO:0009058,GO:0044238,GO:0044237,GO:0003674,GO:0043170,GO:0046483,GO:0003887,GO:0018130,GO:0003824,GO:0071897,GO:0016772,GO:0034641,GO:0090304,GO:0008150,GO:0016779,GO:0140097,GO:0034061,GO:0008152,GO:1901576,GO:0044249,GO:0006259,GO:0006139,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0016740,GO:0071704,GO:0019438,GO:0140640"
69,,GeneOntology,GO:0003677,unclassified GO terms,16244at33208,GO:0003677,165.0,False,"GO:0003676,GO:0003677,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
70,,GeneOntology,GO:0006260,unclassified GO terms,16244at33208,GO:0006260,165.0,False,"GO:0090304,GO:0008150,GO:1901360,GO:0006260,GO:0008152,GO:0006259,GO:0044238,GO:0006139,GO:0044237,GO:0009987,GO:0006725,GO:0043170,GO:0046483,GO:0006807,GO:0034641,GO:0071704"
71,DNA polymerase epsilon catalytic subunit,interpro,IPR029703,interpro_domains,16244at33208,IPR029703,111.0,,
72,"DNA polymerase epsilon, catalytic subunit A, C-terminal",interpro,IPR013697,interpro_domains,16244at33208,IPR013697,105.0,,
73,Ribonuclease H superfamily,interpro,IPR036397,interpro_domains,16244at33208,IPR036397,103.0,,
74,"DNA-directed DNA polymerase, family B, exonuclease domain",interpro,IPR006133,interpro_domains,16244at33208,IPR006133,103.0,,
75,"DNA-directed DNA polymerase, family B",interpro,IPR006172,interpro_domains,16244at33208,IPR006172,103.0,,
76,Ribonuclease H-like superfamily,interpro,IPR012337,interpro_domains,16244at33208,IPR012337,103.0,,
77,"DNA-directed DNA polymerase, family B, multifunctional domain",interpro,IPR006134,interpro_domains,16244at33208,IPR006134,102.0,,
78,DNA repair,GeneOntology,GO:0006281,biological_process,16244at33208,GO:0006281,144.0,False,"GO:0090304,GO:0006281,GO:0008150,GO:1901360,GO:0008152,GO:0006974,GO:0006259,GO:0044238,GO:0006139,GO:0044237,GO:0006950,GO:0009987,GO:0006725,GO:0043170,GO:0046483,GO:0006807,GO:0051716,GO:0033554,GO:0034641,GO:0071704,GO:0050896"
